Longitude,Latitude,Pixel,Scan
22.7269878,-70.5264208,8700,500
22.729942,-70.5263451,8800,500
22.7328971,-70.5262693,8900,500
22.7358529,-70.5261934,9000,500
22.7388095,-70.5261174,9100,500
22.7417668,-70.5260414,9200,500
22.744725,-70.5259653,9300,500
22.7476839,-70.5258892,9400,500
22.7506436,-70.5258129,9500,500
22.7536041,-70.5257367,9600,500
22.7565654,-70.5256603,9700,500
22.7595275,-70.5255839,9800,500
22.7624903,-70.5255074,9900,500
22.7654539,-70.5254308,10000,500
22.7684184,-70.5253542,10100,500
22.7713836,-70.5252775,10200,500
22.7743495,-70.5252007,10300,500
22.7773163,-70.5251238,10400,500
22.7802838,-70.5250469,10500,500
22.7832522,-70.52497,10600,500
22.7862213,-70.5248929,10700,500
22.7891912,-70.5248158,10800,500
22.7921619,-70.5247386,10900,500
22.7951333,-70.5246613,11000,500
22.7981056,-70.524584,11100,500
22.8010786,-70.5245066,11200,500
22.8040525,-70.5244291,11300,500
22.8070271,-70.5243516,11400,500
22.8100025,-70.524274,11500,500
22.8129787,-70.5241963,11600,500
22.8159557,-70.5241186,11700,500
22.8189335,-70.5240408,11800,500
22.821912,-70.5239629,11900,500
22.8248616,-70.5238857,11999,500
22.473101,-70.5336505,0,600
22.4759889,-70.5335805,100,600
22.4788775,-70.5335105,200,600
22.4817669,-70.5334404,300,600
22.4846571,-70.5333702,400,600
22.487548,-70.5333,500,600
22.4904397,-70.5332297,600,600
22.4933321,-70.5331593,700,600
22.4962252,-70.5330889,800,600
22.4991191,-70.5330184,900,600
22.5020138,-70.5329479,1000,600
22.5049092,-70.5328773,1100,600
22.5078054,-70.5328066,1200,600
22.5107023,-70.5327358,1300,600
22.5136,-70.532665,1400,600
22.5164984,-70.5325941,1500,600
22.5193976,-70.5325232,1600,600
22.5222976,-70.5324522,1700,600
22.5251983,-70.5323811,1800,600
22.5280997,-70.53231,1900,600
22.5310019,-70.5322388,2000,600
22.5339049,-70.5321675,2100,600
22.5368086,-70.5320962,2200,600
22.5397131,-70.5320248,2300,600
22.5426183,-70.5319533,2400,600
22.5455243,-70.5318818,2500,600
22.5484311,-70.5318102,2600,600
22.5513386,-70.5317385,2700,600
22.5542469,-70.5316668,2800,600
22.5571559,-70.531595,2900,600
22.5600657,-70.5315232,3000,600
22.5629762,-70.5314512,3100,600
22.5658875,-70.5313792,3200,600
22.5687996,-70.5313072,3300,600
22.5717124,-70.5312351,3400,600
22.574626,-70.5311629,3500,600
22.5775403,-70.5310906,3600,600
22.5804554,-70.5310183,3700,600
22.5833713,-70.5309459,3800,600
22.5862879,-70.5308735,3900,600
22.5892053,-70.530801,4000,600
22.5921235,-70.5307284,4100,600
22.5950424,-70.5306557,4200,600
22.5979621,-70.530583,4300,600
22.6008825,-70.5305102,4400,600
22.6038037,-70.5304374,4500,600
22.6067257,-70.5303645,4600,600
22.6096485,-70.5302915,4700,600
22.612572,-70.5302184,4800,600
22.6154962,-70.5301453,4900,600
22.6184213,-70.5300721,5000,600
22.6213471,-70.5299989,5100,600
22.6242736,-70.5299256,5200,600
22.627201,-70.5298522,5300,600
22.6301291,-70.5297787,5400,600
22.6330579,-70.5297052,5500,600
22.6359876,-70.5296317,5600,600
22.638918,-70.529558,5700,600
22.6418492,-70.5294843,5800,600
